groupId,deviceIndex,deviceSN,deviceTimestampUs,fileName
38,2,CPBG1630011D,1787132602440199,Device2_frame_000012_1787132602440199.png
39,1,CV3T561000H0,1787132602470928,Device1_frame_000013_1787132602470928.png
40,0,CV3T561000B5,1787132602470857,Device0_frame_000013_1787132602470857.png
41,2,CPBG1630011D,1787132602473547,Device2_frame_000013_1787132602473547.png
42,2,CPBG1630011D,1787132602506873,Device2_frame_000014_1787132602506873.png
43,1,CV3T561000H0,1787132602504254,Device1_frame_000014_1787132602504254.png
44,0,CV3T561000B5,1787132602504183,Device0_frame_000014_1787132602504183.png
45,1,CV3T561000H0,1787132602537585,Device1_frame_000015_1787132602537585.png
46,0,CV3T561000B5,1787132602537515,Device0_frame_000015_1787132602537515.png
47,2,CPBG1630011D,1787132602540199,Device2_frame_000015_1787132602540199.png
48,1,CV3T561000H0,1787132602570924,Device1_frame_000016_1787132602570924.png
49,0,CV3T561000B5,1787132602570854,Device0_frame_000016_1787132602570854.png
50,2,CPBG1630011D,1787132602573544,Device2_frame_000016_1787132602573544.png
51,2,CPBG1630011D,1787132602606879,Device2_frame_000017_1787132602606879.png
52,1,CV3T561000H0,1787132602604259,Device1_frame_000017_1787132602604259.png
53,0,CV3T561000B5,1787132602604189,Device0_frame_000017_1787132602604189.png
54,2,CPBG1630011D,1787132602640209,Device2_frame_000018_1787132602640209.png
55,1,CV3T561000H0,1787132602637589,Device1_frame_000018_1787132602637589.png
56,0,CV3T561000B5,1787132602637518,Device0_frame_000018_1787132602637518.png
57,2,CPBG1630011D,1787132602673543,Device2_frame_000019_1787132602673543.png
58,1,CV3T561000H0,1787132602670923,Device1_frame_000019_1787132602670923.png
59,0,CV3T561000B5,1787132602670852,Device0_frame_000019_1787132602670852.png
60,1,CV3T561000H0,1787132602704256,Device1_frame_000020_1787132602704256.png
61,0,CV3T561000B5,1787132602704185,Device0_frame_000020_1787132602704185.png
62,2,CPBG1630011D,1787132602706876,Device2_frame_000020_1787132602706876.png
63,0,CV3T561000B5,1787132602737520,Device0_frame_000021_1787132602737520.png
64,2,CPBG1630011D,1787132602740212,Device2_frame_000021_1787132602740212.png
65,1,CV3T561000H0,1787132602737591,Device1_frame_000021_1787132602737591.png
66,0,CV3T561000B5,1787132602770851,Device0_frame_000022_1787132602770851.png
67,1,CV3T561000H0,1787132602770921,Device1_frame_000022_1787132602770921.png
68,2,CPBG1630011D,1787132602773542,Device2_frame_000022_1787132602773542.png
69,2,CPBG1630011D,1787132602806881,Device2_frame_000023_1787132602806881.png
70,1,CV3T561000H0,1787132602804260,Device1_frame_000023_1787132602804260.png
71,0,CV3T561000B5,1787132602804189,Device0_frame_000023_1787132602804189.png
72,0,CV3T561000B5,1787132602837533,Device0_frame_000024_1787132602837533.png
73,2,CPBG1630011D,1787132602840226,Device2_frame_000024_1787132602840226.png
74,1,CV3T561000H0,1787132602837604,Device1_frame_000024_1787132602837604.png
75,2,CPBG1630011D,1787132602873548,Device2_frame_000025_1787132602873548.png
76,1,CV3T561000H0,1787132602870927,Device1_frame_000025_1787132602870927.png
77,0,CV3T561000B5,1787132602870856,Device0_frame_000025_1787132602870856.png
78,2,CPBG1630011D,1787132602906879,Device2_frame_000026_1787132602906879.png
79,0,CV3T561000B5,1787132602904186,Device0_frame_000026_1787132602904186.png
80,1,CV3T561000H0,1787132602904258,Device1_frame_000026_1787132602904258.png
81,0,CV3T561000B5,1787132602937523,Device0_frame_000027_1787132602937523.png
82,2,CPBG1630011D,1787132602940217,Device2_frame_000027_1787132602940217.png
83,1,CV3T561000H0,1787132602937595,Device1_frame_000027_1787132602937595.png
84,0,CV3T561000B5,1787132602970853,Device0_frame_000028_1787132602970853.png
85,1,CV3T561000H0,1787132602970924,Device1_frame_000028_1787132602970924.png
86,2,CPBG1630011D,1787132602973547,Device2_frame_000028_1787132602973547.png
87,1,CV3T561000H0,1787132603004269,Device1_frame_000029_1787132603004269.png
88,2,CPBG1630011D,1787132603006891,Device2_frame_000029_1787132603006891.png
89,0,CV3T561000B5,1787132603004197,Device0_frame_000029_1787132603004197.png
90,2,CPBG1630011D,1787132603040218,Device2_frame_000030_1787132603040218.png
91,0,CV3T561000B5,1787132603037524,Device0_frame_000030_1787132603037524.png
92,1,CV3T561000H0,1787132603037595,Device1_frame_000030_1787132603037595.png
