deviceIndex,streamType,hwTimestampUs,globalTimestampUs,sysTimestampUs,frameNumber,,device1 globaltime ,device2 globaltime,device2-device0,device2-device1
0,DEPTH,1787124607291239,1787124607294332,1787124607314998,145,,1787124607294304,1787124607294181,-150,-120
0,DEPTH,1787124607324545,1787124607327640,1787124607348465,146,,1787124607327610,1787124607327486,-160,-130
0,DEPTH,1787124607357878,1787124607360974,1787124607381681,147,,1787124607360944,1787124607360818,-160,-130
0,DEPTH,1787124607391212,1787124607394310,1787124607415022,148,,1787124607394279,1787124607394151,-160,-120
0,DEPTH,1787124607424550,1787124607427649,1787124607448327,149,,1787124607427619,1787124607427487,-160,-130
0,DEPTH,1787124607457879,1787124607460980,1787124607481667,150,,1787124607460947,1787124607460815,-170,-130
0,DEPTH,1787124607491210,1787124607494312,1787124607515001,151,,1787124607494280,1787124607494144,-170,-140
0,DEPTH,1787124607524548,1787124607527652,1787124607548378,152,,1787124607527619,1787124607527482,-170,-130
0,DEPTH,1787124607557872,1787124607560977,1787124607581409,153,,1787124607560944,1787124607560805,-170,-140
0,DEPTH,1787124607591218,1787124607594325,1787124607614792,154,,1787124607594291,1787124607594148,-180,-150
0,DEPTH,1787124607624549,1787124607627657,1787124607648070,155,,1787124607627623,1787124607627479,-180,-150
0,DEPTH,1787124607657879,1787124607660989,1787124607681508,156,,1787124607660953,1787124607660807,-180,-150
0,DEPTH,1787124607691209,1787124607694320,1787124607714661,157,,1787124607694284,1787124607694136,-190,-150
0,DEPTH,1787124607724568,1787124607727681,1787124607748363,158,,1787124607727644,1787124607727486,-200,-160
0,COLOR,1787124602757899,1787124602759882,1787124602776678,8,,1787124602759145,1787124602757964,-1920,-1180
0,COLOR,1787124602791232,1787124602793210,1787124602809921,9,,1787124602792467,1787124602791272,-1940,-1190
0,COLOR,1787124602824560,1787124602826533,1787124602843346,10,,1787124602825783,1787124602824574,-1960,-1210
0,COLOR,1787124602857899,1787124602859867,1787124602876566,11,,1787124602860700,1787124602857887,-1980,-2820
0,COLOR,1787124602891235,1787124602893198,1787124602909966,12,,1787124602892423,1787124602891196,-2000,-1230
0,COLOR,1787124602924565,1787124602926523,1787124602943563,13,,1787124602925740,1787124602924501,-2020,-1240
0,COLOR,1787124602957900,1787124602959853,1787124602976817,14,,1787124602959064,1787124602957809,-2050,-1260
0,COLOR,1787124602991234,1787124602993183,1787124603009988,15,,1787124602992385,1787124602991117,-2070,-1270
0,COLOR,1787124603024571,1787124603026514,1787124603043632,16,,1787124603025710,1787124603024428,-2090,-1290
0,COLOR,1787124603057901,1787124603059840,1787124603076717,17,,1787124603059029,1787124603057733,-2110,-1290
0,COLOR,1787124603091233,1787124603093167,1787124603110070,18,,1787124603092348,1787124603091039,-2130,-1310
0,COLOR,1787124603124572,1787124603126501,1787124603143810,19,,1787124603125675,1787124603126331,-170,660
0,COLOR,1787124603157900,1787124603160575,1787124603177072,20,,1787124603160307,1787124603159647,-930,-660
0,COLOR,1787124603191234,1787124603193909,1787124603210203,21,,1787124603193638,1787124603192969,-940,-670
0,COLOR,1787124603224574,1787124603227249,1787124603243532,22,,1787124603226974,1787124603226298,-950,-680
0,COLOR,1787124603257903,1787124603260578,1787124603277163,23,,1787124603260300,1787124603259615,-960,-690
0,COLOR,1787124603291236,1787124603293911,1787124603310362,24,,1787124603293631,1787124603292937,-980,-700
0,COLOR,1787124603324568,1787124603327243,1787124603343665,25,,1787124603326959,1787124603326257,-990,-700
0,COLOR,1787124603357903,1787124603360578,1787124603377085,26,,1787124603360291,1787124603359580,-990,-710
0,COLOR,1787124603391236,1787124603393910,1787124603410291,27,,1787124603393620,1787124603392902,-1010,-720
0,COLOR,1787124603424571,1787124603427245,1787124603443609,28,,1787124603426952,1787124603426225,-1020,-730
0,COLOR,1787124603457903,1787124603460577,1787124603476903,29,,1787124603460282,1787124603459545,-1030,-740
0,COLOR,1787124603491238,1787124603493912,1787124603510201,30,,1787124603493613,1787124603492868,-1050,-750
0,COLOR,1787124603524570,1787124603527244,1787124603543664,31,,1787124603526943,1787124603526191,-1050,-750
