comparison_type,device_i,device_j,stream,hw_diff_us,sys_diff_us,timestamp_us
cross_stream,0,0,depth+color,5,0,1784283618731900
cross_stream,0,0,depth+color,5,0,1784283618765233
cross_stream,0,0,depth+color,4,0,1784283618798854
cross_stream,0,0,depth+color,4,0,1784283618831849
cross_stream,0,0,depth+color,5,0,1784283618865314
cross_stream,0,0,depth+color,5,0,1784283618898956
cross_stream,0,0,depth+color,4,0,1784283618932031
cross_stream,0,0,depth+color,4,0,1784283618965388
cross_stream,0,0,depth+color,4,0,1784283618998521
cross_stream,0,0,depth+color,4,33055,1784283619031576
cross_stream,0,0,depth+color,5,0,1784283619065168
cross_stream,0,0,depth+color,5,0,1784283619098509
cross_stream,0,0,depth+color,4,0,1784283619131875
cross_stream,0,0,depth+color,5,0,1784283619165628
cross_stream,0,0,depth+color,5,0,1784283619198488
cross_stream,0,0,depth+color,5,0,1784283619231860
cross_stream,0,0,depth+color,5,0,1784283619265520
cross_stream,0,0,depth+color,4,0,1784283619298831
cross_stream,0,0,depth+color,4,0,1784283619331835
cross_stream,0,0,depth+color,5,0,1784283619365426
cross_stream,0,0,depth+color,5,0,1784283619398510
cross_stream,0,0,depth+color,5,0,1784283619431882
cross_stream,0,0,depth+color,4,0,1784283619465496
cross_stream,0,0,depth+color,4,0,1784283619498751
cross_stream,0,0,depth+color,4,0,1784283619532213
cross_stream,0,0,depth+color,4,0,1784283619565192
cross_stream,0,0,depth+color,5,0,1784283619598812
cross_stream,0,0,depth+color,5,0,1784283619632012
cross_stream,0,0,depth+color,5,0,1784283619665437
cross_stream,0,0,depth+color,4,0,1784283619698503
cross_stream,0,0,depth+color,5,0,1784283619731861
cross_stream,0,0,depth+color,4,0,1784283619765770
cross_stream,0,0,depth+color,5,0,1784283619799098
cross_stream,0,0,depth+color,5,0,1784283619831871
cross_stream,0,0,depth+color,5,0,1784283619865171
cross_stream,0,0,depth+color,5,0,1784283619898528
cross_stream,0,0,depth+color,5,0,1784283619932208
cross_stream,0,0,depth+color,5,0,1784283619965007
cross_stream,0,0,depth+color,4,0,1784283619998499
cross_stream,0,0,depth+color,4,0,1784283620032508
cross_stream,0,0,depth+color,5,0,1784283620065281
cross_stream,0,0,depth+color,5,0,1784283620098509
cross_stream,0,0,depth+color,5,0,1784283620132577
cross_stream,0,0,depth+color,5,0,1784283620165492
cross_stream,0,0,depth+color,5,0,1784283620198705
cross_stream,0,0,depth+color,5,0,1784283620231858
cross_stream,0,0,depth+color,4,0,1784283620266195
cross_stream,0,0,depth+color,4,0,1784283620298904
cross_stream,0,0,depth+color,4,0,1784283620331932
cross_stream,0,0,depth+color,4,0,1784283620365279
cross_stream,0,0,depth+color,5,0,1784283620398618
cross_stream,0,0,depth+color,4,0,1784283620431888
cross_stream,0,0,depth+color,5,0,1784283620465854
cross_stream,0,0,depth+color,4,0,1784283620498670
cross_stream,0,0,depth+color,5,0,1784283620532496
cross_stream,0,0,depth+color,5,0,1784283620565089
cross_stream,0,0,depth+color,4,0,1784283620598371
cross_stream,0,0,depth+color,4,0,1784283620631867
cross_stream,0,0,depth+color,5,0,1784283620665167
cross_stream,0,0,depth+color,5,0,1784283620698669
cross_stream,0,0,depth+color,4,0,1784283620731829
cross_stream,0,0,depth+color,5,0,1784283620765504
cross_stream,0,0,depth+color,4,0,1784283620798828
cross_stream,0,0,depth+color,5,0,1784283620832379
cross_stream,0,0,depth+color,5,0,1784283620865564
cross_stream,0,0,depth+color,5,0,1784283620898822
cross_stream,0,0,depth+color,4,0,1784283620931970
cross_stream,0,0,depth+color,5,0,1784283620965430
cross_stream,0,0,depth+color,4,0,1784283620998669
cross_stream,0,0,depth+color,4,0,1784283621032040
cross_stream,0,0,depth+color,5,0,1784283621065574
cross_stream,0,0,depth+color,5,0,1784283621098665
cross_stream,0,0,depth+color,5,0,1784283621132012
cross_stream,0,0,depth+color,5,0,1784283621165414
cross_stream,0,0,depth+color,5,0,1784283621198684
cross_stream,0,0,depth+color,4,0,1784283621232119
cross_stream,0,0,depth+color,5,0,1784283621265347
cross_stream,0,0,depth+color,5,0,1784283621298752
cross_stream,0,0,depth+color,5,0,1784283621331848
cross_stream,0,0,depth+color,5,0,1784283621365932
cross_stream,0,0,depth+color,5,0,1784283621398650
cross_stream,0,0,depth+color,5,0,1784283621432278
cross_stream,0,0,depth+color,5,0,1784283621465666
cross_stream,0,0,depth+color,5,0,1784283621498754
cross_stream,0,0,depth+color,5,0,1784283621532262
cross_stream,0,0,depth+color,4,0,1784283621565531
cross_stream,0,0,depth+color,4,0,1784283621598930
cross_stream,0,0,depth+color,5,0,1784283621632252
cross_stream,0,0,depth+color,5,0,1784283621665169
cross_stream,0,0,depth+color,4,0,1784283621698866
cross_stream,0,0,depth+color,4,0,1784283621731889
cross_stream,0,0,depth+color,5,0,1784283621765201
cross_stream,0,0,depth+color,4,0,1784283621798508
cross_stream,0,0,depth+color,4,0,1784283621832056
cross_stream,0,0,depth+color,5,0,1784283621865379
cross_stream,0,0,depth+color,5,0,1784283621898732
cross_stream,0,0,depth+color,4,0,1784283621931885
cross_stream,0,0,depth+color,5,0,1784283621965822
cross_stream,0,0,depth+color,5,0,1784283621999072
cross_stream,0,0,depth+color,4,0,1784283622032117
cross_stream,0,0,depth+color,4,0,1784283622066030
cross_stream,0,0,depth+color,4,0,1784283622098553
cross_stream,0,0,depth+color,5,0,1784283622131892
cross_stream,0,0,depth+color,4,0,1784283622165733
cross_stream,0,0,depth+color,4,0,1784283622198890
cross_stream,0,0,depth+color,5,0,1784283622232563
cross_stream,0,0,depth+color,4,0,1784283622265090
cross_stream,0,0,depth+color,4,0,1784283622298551
cross_stream,0,0,depth+color,4,0,1784283622332038
cross_stream,0,0,depth+color,5,0,1784283622365244
cross_stream,0,0,depth+color,5,0,1784283622398341
cross_stream,0,0,depth+color,4,0,1784283622432118
cross_stream,0,0,depth+color,5,0,1784283622465847
cross_stream,0,0,depth+color,5,0,1784283622498874
cross_stream,0,0,depth+color,4,0,1784283622532150
cross_stream,0,0,depth+color,4,0,1784283622565778
cross_stream,0,0,depth+color,5,0,1784283622598871
cross_stream,0,0,depth+color,5,0,1784283622631897
cross_stream,0,0,depth+color,5,0,1784283622665546
cross_stream,0,0,depth+color,5,0,1784283622698881
cross_stream,0,0,depth+color,5,0,1784283622731889
